X,Y
640,1266
640,1265
638,1265
638,1266
637,1266
637,1265
635,1265
635,1264
631,1264
631,1263
630,1263
630,1262
629,1262
629,1261
628,1261
628,1260
625,1260
625,1259
624,1259
624,1260
621,1260
621,1261
617,1261
617,1260
610,1260
610,1259
607,1259
607,1258
602,1258
602,1257
599,1257
599,1256
597,1256
597,1255
595,1255
595,1254
594,1254
594,1253
593,1253
593,1251
592,1251
592,1250
590,1250
590,1249
589,1249
589,1248
588,1248
588,1247
587,1247
587,1246
586,1246
586,1245
585,1245
585,1244
584,1244
584,1243
583,1243
583,1242
582,1242
582,1241
581,1241
581,1240
580,1240
580,1238
579,1238
579,1236
578,1236
578,1233
579,1233
579,1232
580,1232
580,1230
579,1230
579,1228
578,1228
578,1225
579,1225
579,1218
578,1218
578,1216
577,1216
577,1215
576,1215
576,1213
575,1213
575,1212
573,1212
573,1211
572,1211
572,1210
571,1210
571,1209
570,1209
570,1208
569,1208
569,1206
568,1206
568,1205
567,1205
567,1203
566,1203
566,1202
565,1202
565,1201
566,1201
566,1198
565,1198
565,1197
563,1197
563,1196
562,1196
562,1195
561,1195
561,1194
560,1194
560,1193
559,1193
559,1192
560,1192
560,1191
561,1191
561,1189
560,1189
560,1188
558,1188
558,1187
557,1187
557,1186
555,1186
555,1184
554,1184
554,1179
553,1179
553,1177
552,1177
552,1174
551,1174
551,1167
550,1167
550,1164
549,1164
549,1154
552,1154
552,1153
553,1153
553,1149
554,1149
554,1148
553,1148
553,1147
554,1147
554,1142
553,1142
553,1141
552,1141
552,1140
551,1140
551,1139
549,1139
549,1138
548,1138
548,1137
547,1137
547,1135
548,1135
548,1132
547,1132
547,1131
546,1131
546,1130
545,1130
545,1129
543,1129
543,1128
542,1128
542,1126
541,1126
541,1122
540,1122
540,1120
537,1120
537,1124
538,1124
538,1125
537,1125
537,1126
536,1126
536,1127
535,1127
535,1132
534,1132
534,1134
533,1134
533,1135
532,1135
532,1138
531,1138
531,1136
530,1136
530,1131
529,1131
529,1129
528,1129
528,1127
527,1127
527,1125
526,1125
526,1123
525,1123
525,1116
524,1116
524,1113
525,1113
525,1115
526,1115
526,1121
527,1121
527,1124
528,1124
528,1125
530,1125
530,1115
529,1115
529,1104
528,1104
528,1090
529,1090
529,1086
530,1086
530,1083
531,1083
531,1081
534,1081
534,1080
535,1080
535,1079
537,1079
537,1076
536,1076
536,1074
535,1074
535,1070
534,1070
534,1069
533,1069
533,1068
531,1068
531,1067
530,1067
530,1065
529,1065
529,1064
528,1064
528,1062
526,1062
526,1060
527,1060
527,1054
528,1054
528,1052
529,1052
529,1051
530,1051
530,1048
531,1048
531,1046
532,1046
532,1043
531,1043
531,1039
532,1039
532,1038
533,1038
533,1037
534,1037
534,1033
536,1033
536,1032
537,1032
537,1031
539,1031
539,1030
540,1030
540,1029
541,1029
541,1028
543,1028
543,1027
545,1027
545,1026
546,1026
546,1024
540,1024
540,1025
537,1025
537,1022
538,1022
538,1021
540,1021
540,1022
544,1022
544,1021
546,1021
546,1020
547,1020
547,1019
548,1019
548,1018
557,1018
557,1017
565,1017
565,1018
567,1018
567,1019
570,1019
570,1020
572,1020
572,1021
574,1021
574,1022
575,1022
575,1023
577,1023
577,1024
578,1024
578,1025
579,1025
579,1026
580,1026
580,1027
581,1027
581,1031
582,1031
582,1032
583,1032
583,1033
584,1033
584,1034
586,1034
586,1035
587,1035
587,1036
589,1036
589,1037
590,1037
590,1038
591,1038
591,1039
592,1039
592,1040
593,1040
593,1041
594,1041
594,1042
596,1042
596,1043
597,1043
597,1044
598,1044
598,1045
601,1045
601,1046
602,1046
602,1049
603,1049
603,1050
604,1050
604,1051
605,1051
605,1052
606,1052
606,1054
607,1054
607,1055
608,1055
608,1056
610,1056
610,1057
611,1057
611,1058
612,1058
612,1059
614,1059
614,1060
615,1060
615,1061
616,1061
616,1062
617,1062
617,1063
618,1063
618,1064
619,1064
619,1065
620,1065
620,1066
622,1066
622,1067
624,1067
624,1068
625,1068
625,1069
626,1069
626,1070
625,1070
625,1071
626,1071
626,1073
627,1073
627,1074
628,1074
628,1075
629,1075
629,1076
630,1076
630,1077
631,1077
631,1078
632,1078
632,1079
634,1079
634,1080
636,1080
636,1081
637,1081
637,1082
638,1082
638,1083
639,1083
639,1085
640,1085
